scientificName,decimalLatitude,decimalLongitude,country,koppen_value
Copernicia prunifera (Mill.) H.E.Moore,-2.885052,-40.550365,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.160103,-38.239293,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.523744,-37.032599,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.537776,-37.029602,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.537524,-37.030063,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.825793,-38.643294,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.93262,-42.203928,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.362506,-41.820251,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.549598,-37.036718,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.543433,-37.037181,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.547304,-37.037457,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.747731,-38.485399,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.701874,-38.960758,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.927119,-41.520168,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.926996,-41.519521,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.826999,-41.836378,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.825661,-40.418897,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.382422,-38.028624,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.636909,-37.257646,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.816065,-43.541384,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.791304,-38.556298,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.832564,-38.401072,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.710736,-38.641164,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.748182,-38.971468,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.811944,-36.712222,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.726835,-38.482868,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.536968,-37.023252,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.392579,-35.140255,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.769333,-38.442433,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.770609,-38.544294,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.410462,-39.030153,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.623442,-36.877265,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.81333,-38.488231,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-9.386122,-40.303863,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-7.043128,-38.506304,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.113597,-38.091489,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.905638,-40.745019,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.942151,-38.607711,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.936567,-38.606303,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.876205,-37.314883,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.870358,-37.313207,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.347225,-39.297709,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.944155,-37.944808,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.68,-36.48,Brazil,0
Copernicia prunifera (Mill.) H.E.Moore,-5.251765,-36.799933,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.870224,-37.312689,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.962487,-37.904678,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.119292,-42.933297,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-6.12,-41.4,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.499722,-36.48,Brazil,0
Copernicia prunifera (Mill.) H.E.Moore,-4.499722,-36.84,Brazil,0
Copernicia prunifera (Mill.) H.E.Moore,-5.194658,-37.336266,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.689241,-40.311024,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.696944,-38.840833,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.196952,-37.334842,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.86,-41.399722,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.32,-41.76,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.22,-41.76,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-10.62,-41.76,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-11.046,-43.2,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.844607,-37.28688,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.78,-41.94,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.78,-36.3,Brazil,0
Copernicia prunifera (Mill.) H.E.Moore,-3.96,-41.58,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.104728,-37.555805,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.380484,-39.303476,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.361156,-39.3083,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-4.815872,-42.156669,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.379714,-39.301828,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.37799,-39.302448,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.376904,-39.302427,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.42,-41.94,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.570082,-42.742263,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.75782,-42.823534,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.237018,-37.35233,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362546,-39.305623,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362479,-39.305945,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.362511,-39.305279,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.202892,-37.326098,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.670005,-37.714156,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.195827,-37.313372,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.196864,-37.334608,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.195357,-37.312769,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.194907,-37.336565,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.195698,-37.313276,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.195586,-37.335797,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-6.977074,-36.782049,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-7.296664,-38.14408,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-7.242987,-36.878756,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-7.234315,-36.892201,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-3.629542,-40.307844,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.391945,-42.473312,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.622329,-38.871345,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.710307,-38.643096,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-10.922778,-42.825833,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-11.525437,-42.520631,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.531211,-37.018615,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.531184,-37.018615,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-5.531139,-37.01857,Brazil,6
Copernicia prunifera (Mill.) H.E.Moore,-4.636747,-37.512458,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.217369,-37.337948,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-2.706537,-42.526583,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-3.944396,-38.605819,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-5.201229,-37.341976,Brazil,3
Copernicia prunifera (Mill.) H.E.Moore,-11.41231,-42.453322,Brazil,3
